what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678844685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678859253
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678861519
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390678863767
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678863958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390678870180
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390678871624
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390678872208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678872744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678891847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678892581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678912563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390678917420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678918222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678966466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678967358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678968430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678973040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390678973597
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678973663
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390678973755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679042701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679049694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679051654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679125831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679131022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679133963
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679174455
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679176352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679176916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679204933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679205203
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679227816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679231118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679237789
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679238431
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679239016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679239663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679391478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679391948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679403832
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679404470
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679405104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679405677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679483501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679484699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679493083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679494086
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679494672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679495225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679499557
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679500707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679501954
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679502622
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679503336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679503873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679518168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679518306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679563653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679580027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679585997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679589618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679605841
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679606925
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679607552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679607563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679609032
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1390679610178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679611692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679613493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679613561
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679615415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679616024
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679616328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679616867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679628872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1390679628886
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679640215
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390679640928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679641459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679684169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679684476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679703197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390679736898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390679737379
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390679738118
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390679740299
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1390679740731
