what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768391935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768404602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768416006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768426984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768532521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398768532540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768533096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768534846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768536987
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768537049
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768537085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768539345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768542908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1398768542934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768546554
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1398768546590
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1398768547512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768548758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768548832
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1398768549782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768581498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768586112
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398768587262
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768591295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768591336
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1398768598927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768600247
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398768600756
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1398768601359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768602016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768621103
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1398768622752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768623338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768640015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768640080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768640943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768643702
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1398768645665
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1398768648547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768663699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768690734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768692540
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768692606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768692647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768729713
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398768730947
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1398768731624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768732246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768734600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768734625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768735966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398768747598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398768755639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398768757879
