what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390055305868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055306633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390055306661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055316492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390055318808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055319135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055321663
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390055327218
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1390055327874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055327905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055329137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055331774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055333661
error,log,,,"Unhandled event loop exception",1390055333770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390055335096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055338977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055344309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390055345558
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390055349986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055351491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390055352314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390055352648
