what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1396262341860
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1396262341860
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1396262341876
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1396262341876
os,sysinfo,,,"win32",1396262341891
arch,sysinfo,,,"x86_64",1396262341891
ws,sysinfo,,,"win32",1396262341891
locale,sysinfo,,,"fr_FR",1396262341891
processors,sysinfo,,,"4",1396262341891
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396262341891
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1396262341891
java.specification.name,sysinfo,,,"Java Platform API Specification",1396262341891
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396262341891
java.specification.version,sysinfo,,,"1.7",1396262341891
java.vendor,sysinfo,,,"Oracle Corporation",1396262341891
java.version,sysinfo,,,"1.7.0_45",1396262341891
java.vm.info,sysinfo,,,"mixed mode",1396262341891
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1396262341891
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396262341891
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396262341891
java.vm.specification.version,sysinfo,,,"1.7",1396262341891
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396262341891
java.vm.version,sysinfo,,,"24.45-b08",1396262341891
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1396262341985
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1396262341985
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1396262342016
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1396262342422
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1396262342437
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1396262342515
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1396262343779
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1396262344528
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1396262344777
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1396262344840
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1396262344933
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1396262344980
started,bundle,com.objectaid.uml,1.1.4,"com.objectaid.uml",1396262345292
started,bundle,com.objectaid.uml.cls,1.1.4,"com.objectaid.uml.cls",1396262346509
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1396262346618
started,bundle,com.objectaid.uml.seq,1.1.4,"com.objectaid.uml.seq",1396262347226
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1396262348116
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1396262349816
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1396262350144
started,bundle,com.objectaid.uml.java,1.1.4,"com.objectaid.uml.java",1396262350596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262350596
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1396262353186
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1396262354184
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1396262354683
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1396262355479
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1396262356259
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1396262357023
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1396262357288
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1396262357351
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1396262357366
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1396262357366
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1396262357382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262357538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262366820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262370018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262372920
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1396262373918
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1396262373965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262380517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262384854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262386102
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262386320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262386382
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1396262390173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1396262391219
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262391999
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262392123
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262392279
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262392591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262397069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262404962
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262405056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262405103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396262411155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262411748
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1396262412388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262415165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262417645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262417770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262417973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262422590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262435741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262436318
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262444758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262444945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262455163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262462183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262468220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262762365
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396262762391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1396262763186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1396262763345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262764449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262767417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262768670
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262768764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396262768809
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262774036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396262774193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396262774433
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396262775827
